input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes
CONTROL_REP1.mapping.ARG.deeparg	OMPR	CP000034.1.gene3672.p01|FEATURES|ompR|multidrug|ompR	deeparg_db	2	CP000034.1.gene3672.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	450				U00096.3_3333															100.0	ARO:3000830		
CONTROL_REP1.mapping.ARG.deeparg	DNA-BINDING_PROTEIN_H-NS	CP001918.1.gene1661.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	deeparg_db	2	CP001918.1.gene1661.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	135				U00096.3_2623															54.8	ARO:3000676		
CONTROL_REP1.mapping.ARG.deeparg	CLASS_C	AAC77110|FEATURES|class_C|beta-lactam|class_C	deeparg_db	2	AAC77110	deeparg	1.0.4	gene_presence_detected					beta-lactam		1	377				U00096.3_4071															100.0	ARO:3004290	ARO:0000032,ARO:0000054,ARO:3000008	ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP1.mapping.ARG.deeparg	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	Q83MG8|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	deeparg_db	2	Q83MG8	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	273				U00096.3_48															100.0	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
CONTROL_REP1.mapping.ARG.deeparg	EMRE	ZP_03048536|FEATURES|emrE|multidrug|emrE	deeparg_db	2	ZP_03048536	deeparg	1.0.4	gene_presence_detected					multidrug		1	110				U00096.3_526															99.1	ARO:3004039	ARO:0000006	ARO:0000000
CONTROL_REP1.mapping.ARG.deeparg	MDFA	NP_752857|FEATURES|mdfA|multidrug|mdfA	deeparg_db	2	NP_752857	deeparg	1.0.4	gene_presence_detected					multidrug		11	420				U00096.3_815															100.0	ARO:3001328	ARO:0000051,ARO:3003823	ARO:3000050,ARO:3005386
CONTROL_REP1.mapping.ARG.deeparg	YOJI	NP_416715.1|FEATURES|YojI|peptide|YojI	deeparg_db	2	NP_416715.1	deeparg	1.0.4	gene_presence_detected					peptide		1	547				U00096.3_2177															100.0	ARO:3003952	ARO:3003951	ARO:3000053
CONTROL_REP1.mapping.ARG.deeparg	MACA	gi:446669097:ref:WP_000746443.1:|FEATURES|macA|MLS|macA	deeparg_db	2	gi:446669097:ref:WP_000746443.1:	deeparg	1.0.4	gene_presence_detected					MLS		1	371				U00096.3_851															99.7	ARO:3000533		
CONTROL_REP1.mapping.ARG.deeparg	PBP-1A	YP_001290033|FEATURES|PBP-1A|beta-lactam|PBP-1A	deeparg_db	2	YP_001290033	deeparg	1.0.4	gene_presence_detected					beta-lactam		11	834				U00096.3_3325															53.3	ARO:3007060	ARO:0000032,ARO:0000044,ARO:0000064,ARO:3000008	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP1.mapping.ARG.deeparg	MACB	gi:486425021:ref:WP_001614493.1:|FEATURES|macB|MLS|macB	deeparg_db	2	gi:486425021:ref:WP_001614493.1:	deeparg	1.0.4	gene_presence_detected					MLS		1	648				U00096.3_852															100.0	ARO:3000535		
